EPD Stratiplots
Sat Apr 20 19:05:27 2019
Doing 1659 of 2570 - BP990406 
Doing 1660 of 2570 - ASIG1 
Doing 1661 of 2570 - ASIG2 
Doing 1662 of 2570 - CRAMONER 
Doing 1663 of 2570 - CON16035 
Doing 1664 of 2570 - CS9810 
Doing 1665 of 2570 - EICHGIMB 
Doing 1666 of 2570 - DO3 
Doing 1667 of 2570 - EURACHP1 
Doing 1668 of 2570 - BROADOWN 
Doing 1669 of 2570 - COMERSLA 
Doing 1670 of 2570 - CUTHILL1 
Doing 1671 of 2570 - CUTHILL2 
Doing 1672 of 2570 - ESGRYN 
Doing 1673 of 2570 - EXBRIDGE 
Doing 1674 of 2570 - GOURTE 
Doing 1675 of 2570 - HANGINGS 
Doing 1676 of 2570 - BOLL11 
Doing 1677 of 2570 - HARESDOW 
Doing 1678 of 2570 - LOBBSBOG 
Doing 1679 of 2570 - LONGBREA 
Doing 1680 of 2570 - MIDNORCO 
Doing 1681 of 2570 - MOLECHAM 
Doing 1682 of 2570 - NORTHTWI 
Doing 1683 of 2570 - STONETOR 
Doing 1684 of 2570 - WINDMILL 
Doing 1685 of 2570 - WINNEYS 
Doing 1686 of 2570 - MD042845 
Doing 1687 of 2570 - MD952042 
Doing 1688 of 2570 - MD992331 
Doing 1689 of 2570 - ELMA 
Doing 1690 of 2570 - ELMB 
Doing 1691 of 2570 - ELMC 
Doing 1692 of 2570 - ELMD 
Doing 1693 of 2570 - ELMK 
Doing 1694 of 2570 - FADEYEVS 
Doing 1695 of 2570 - FIEKERS 
Doing 1696 of 2570 - FLUDERBA 
Doing 1697 of 2570 - FLUDERC 
Doing 1698 of 2570 - FLUDERI 
Doing 1699 of 2570 - FLUDERII 
Doing 1700 of 2570 - SAMERBE2 
Doing 1701 of 2570 - FURAM83 
Doing 1702 of 2570 - FURAMIII 
Doing 1703 of 2570 - GPL0 
Doing 1704 of 2570 - GROBER94 
Doing 1705 of 2570 - HOFSTAP1 
Doing 1706 of 2570 - HOFSTAP2 
Doing 1707 of 2570 - K7P2 
Doing 1708 of 2570 - KR0 
Doing 1709 of 2570 - KOLBER1 
Doing 1710 of 2570 - KOLBER2 
Doing 1711 of 2570 - KOLBER3 
Doing 1712 of 2570 - KOLBER4 
Doing 1713 of 2570 - KOLBER5 
Doing 1714 of 2570 - SEWEN2 
Doing 1715 of 2570 - SEWEN3 
Doing 1716 of 2570 - LAASE1 
Doing 1717 of 2570 - LAASE2 
Doing 1718 of 2570 - KRUMBA2 
Doing 1719 of 2570 - CANAL 
Doing 1720 of 2570 - QUARRY 
Doing 1721 of 2570 - HEUWEG1 
Doing 1722 of 2570 - HEUWEG2 
Doing 1723 of 2570 - KAKITU1 
Doing 1724 of 2570 - KAKITU2 
Doing 1725 of 2570 - KONIGKO0 
Doing 1726 of 2570 - KRUMBA1 
Doing 1727 of 2570 - KRUMBA3 
Doing 1728 of 2570 - KRUMBA5 
Doing 1729 of 2570 - SAMERBE1 
Doing 1730 of 2570 - CHAVANTS 
Doing 1731 of 2570 - KTK1 
Doing 1732 of 2570 - MARS 
Doing 1733 of 2570 - KS03 
Doing 1734 of 2570 - GROBER95 
