"ent","sigle","siteID","siteName","lon","lat","elev","poldiv1","region","nsample","ndate","clammodel","use","upperdepth","lowerdepth"
1038,"RAC20",866,"Lake Racou",2.008333,42.554167,2000,"FRA","France",78,8,1,2,NA,NA
1039,"FATE",883,"Lago delle Fate",7.1,44.266667,2130,"ITA","Italy",30,4,2,2,0,280
1040,"MONDOVI",884,"Refugio Mondovi",7.733333,44.183333,1760,"ITA","Italy",36,6,2,2,0,420
1041,"ORGIALS",885,"Laghi dell'Orgials",7.133333,44.233333,2240,"ITA","Italy",51,5,1,2,0,370
1042,"BIECAI",886,"Torbiera del Biecai",7.7,44.2,1920,"ITA","Italy",57,5,2,2,0,260
1043,"KOZLI",887,"Kozli",14.025833,49.376389,460,"CZE","Czech Republic",22,2,1,2,0,140
1044,"GORSFAWR",888,"Gors Fawr Bog",-4.718333,51.931667,190,"GBR","United Kingdom",54,4,1,2,NA,200
1045,"BH2",889,"Lake Urmia II",45.375833,37.793611,1265,"IRN","Iran, Islamic Republic of",93,2,1,2,NA,NA
1046,"BH3",889,"Lake Urmia II",45.375833,37.793611,1265,"IRN","Iran, Islamic Republic of",87,0,NA,NA,NA,NA
1047,"RAA37",866,"Lake Racou",2.008333,42.554167,2000,"FRA","France",93,0,NA,NA,NA,NA
1048,"BEGBUNAR",890,"Peat-bog Begbunar",22.55,42.15,1750,"BGR","Bulgaria",22,3,2,2,NA,NA
1049,"CUAI",891,"Montes do Buio Cuadramón",-7.534722,43.474167,700,"ESP","Spain",27,0,NA,NA,NA,NA
1050,"CUAII",891,"Montes do Buio Cuadramón",-7.534722,43.474167,700,"ESP","Spain",20,1,1,2,NA,NA
1051,"LUITEL",892,"Col Luitel",5.849722,45.088333,1250,"FRA","France",72,3,1,2,NA,NA
1052,"TORBENOV",893,"Novienky peat bog",54.751111,52.24,197,"RUS","Russia",17,1,1,2,NA,NA
1053,"LANZBOG",894,"Lanzahíta",-4.935833,40.222222,588,"ESP","Spain",51,6,NA,NA,NA,NA
1054,"COULVAIN",895,"Coulvain",-0.716667,49.066667,145,"FRA","France",25,2,1,2,NA,NA
1055,"AELBI",896,"Älbi Flue",7.976389,46.598611,1850,"CHE","Switzerland",108,0,2,2,0,33
1056,"ALETSW",897,"Aletschwald",8.025556,46.389722,2017,"CHE","Switzerland",57,7,2,2,0,435
1057,"ALETSW1",897,"Aletschwald",8.025556,46.389722,2017,"CHE","Switzerland",51,7,1,1,NA,NA
1058,"ALETSW2",897,"Aletschwald",8.025556,46.389722,2017,"CHE","Switzerland",49,0,1,1,NA,NA
1059,"ALETSCHW",897,"Aletschwald",8.025556,46.389722,2017,"CHE","Switzerland",108,0,2,2,1.5,32
1060,"AMBY80",58,"Hières sur Amby",5.283333,45.790833,227,"FRA","France",122,4,0,2,NA,NA
1061,"BACHALP",898,"Bachalpsee",8.020833,46.6694444,2265,"CHE","Switzerland",152,4,2,2,1,1000
1062,"BALDEGG",899,"Baldeggersee",8.266667,47.2,463,"CHE","Switzerland",109,0,1,2,0,40
1063,"BASR",900,"La Grande Basse",6.951389,48.048333,945,"FRA","France",51,4,2,2,NA,NA
1064,"BELALP1",901,"Alp Lüsga Belalp 1",7.590278,46.230833,2330,"CHE","Switzerland",29,4,2,2,0,162
1065,"BELALP2",902,"Alp Lüsga Belalp 2",7.9775,46.384444,2310,"CHE","Switzerland",25,3,2,2,0,145
1066,"BEVERA",903,"Lago di Bévera",8.894722,45.8525,340,"ITA","Italy",11,0,1,2,0,21
1067,"BIBER",904,"Bibersee",8.466667,47.206944,429,"CHE","Switzerland",286,26,2,2,0,650
1068,"BITSCH3",905,"Bitsch-Naters",7.991667,46.341111,1089,"CHE","Switzerland",90,8,2,2,30,628
1069,"BODMEN1",906,"Bodmen Alp Bel",7.964444,46.363056,1916,"CHE","Switzerland",14,0,1,1,NA,NA
1070,"BODMEN2",906,"Bodmen Alp Bel",7.964444,46.363056,1916,"CHE","Switzerland",14,0,1,1,NA,NA
1071,"BODMEN3",906,"Bodmen Alp Bel",7.964444,46.363056,1916,"CHE","Switzerland",11,0,1,1,NA,NA
1072,"BRETAYE",907,"Lac de Bretaye",7.072222,46.326111,1786,"CHE","Switzerland",16,0,1,2,1,30
1073,"BUNSCHLE",908,"Untere Bunschleren Boltigen",7.419167,46.600278,1676,"CHE","Switzerland",58,0,1,1,NA,NA
1074,"CINUSKEL",909,"Cinuskel",10.023611,46.643611,1615,"CHE","Switzerland",12,0,1,1,NA,NA
1075,"CLAP68",147,"Clapeyret",7.238889,44.147222,2260,"FRA","France",45,0,1,2,NA,NA
1076,"DOSSAC1",910,"Dossaccio Bormio",10.337222,46.470556,1698,"ITA","Italy",37,0,1,1,NA,NA
1077,"DOSSAC2",910,"Dossaccio Bormio",10.337222,46.470556,1698,"ITA","Italy",30,0,1,1,NA,NA
1078,"DOSSAC3",910,"Dossaccio Bormio",10.337222,46.470556,1698,"ITA","Italy",12,0,1,1,NA,NA
1079,"DOSSACC",910,"Dossaccio Bormio",10.337222,46.470556,1698,"ITA","Italy",78,5,2,2,0,920
1080,"EGGEN",911,"Eggen ob Blatten",7.990556,46.371944,1654,"CHE","Switzerland",78,16,2,2,12,425
1081,"EGGEN2",911,"Eggen ob Blatten",7.990556,46.371944,1654,"CHE","Switzerland",42,0,1,1,NA,NA
1082,"EGGEN3",911,"Eggen ob Blatten",7.990556,46.371944,1654,"CHE","Switzerland",40,0,1,1,NA,NA
1083,"EGGEN56",911,"Eggen ob Blatten",7.990556,46.371944,1654,"CHE","Switzerland",50,6,1,1,NA,NA
1084,"GRUERE",912,"Etang de la Gruère",7.05,47.240556,1012,"CHE","Switzerland",27,4,2,2,NA,NA
1085,"EGR2G",912,"Etang de la Gruère",7.05,47.240556,1012,"CHE","Switzerland",44,13,NA,NA,NA,NA
1086,"EGR2A",912,"Etang de la Gruère",7.05,47.240556,1012,"CHE","Switzerland",141,32,2,2,NA,NA
1087,"FELDD2",913,"Feld Alp Holzmatten",8.004167,46.659167,2148,"CHE","Switzerland",10,2,1,2,195,240
1088,"GAENSEMO",914,"Gänsemoos Schwarzenburg",7.356389,46.834722,799,"CHE","Switzerland",52,10,2,2,0,600
1089,"GAMPERF",915,"Gamperfin",9.381111,47.171389,1320,"CHE","Switzerland",66,10,2,2,0,490
1090,"GANNA",916,"Lago di Ganna",8.8275,45.8975,452,"ITA","Italy",22,0,2,2,0,22
1091,"GERZEN",917,"Gerzensee",7.546944,46.830556,603,"CHE","Switzerland",13,0,1,2,0,24
1092,"GONDO",918,"Gondo Alpjen",8.113333,46.211667,1724,"CHE","Switzerland",42,5,2,2,0,470
1093,"GIORGIO",919,"Monte San Giorgio",8.953889,45.909444,990,"CHE","Switzerland",7,0,1,2,0,30
1094,"GRAECH51",920,"Grächen See",7.845,46.195556,1725,"CHE","Switzerland",44,6,1,1,NA,NA
1095,"GRAECHEN",920,"Grächen See",7.845,46.195556,1725,"CHE","Switzerland",81,12,2,2,0,1102
1096,"GREICH2",921,"Greicheralp Riederalp",8.030278,46.379722,1934,"CHE","Switzerland",46,5,2,2,0,440
1097,"GRINDJI",922,"Grindjisee",7.791111,46.011667,2343,"CHE","Switzerland",10,0,1,2,0,13
1098,"HAGELSEE",923,"Hagelseeli",8.035278,46.672778,2346,"CHE","Switzerland",51,0,1,2,0,34.3
1099,"GRUNSEE",924,"Grünsee Reschenscheideck",10.478056,46.862778,1840,"ITA","Italy",58,3,2,2,0,585
1100,"HANGSTLI",925,"Hängstli",7.833056,46.794167,1252,"CHE","Switzerland",47,3,2,2,0,460
1101,"HELLELEN",926,"Mittlere Hellelen",7.844167,46.283056,1538,"CHE","Switzerland",31,3,1,1,NA,NA
1102,"ZENEGGEN",926,"Mittlere Hellelen",7.844167,46.283056,1538,"CHE","Switzerland",95,11,2,2,0,840
1103,"HILAIRE1",927,"Saint Hilaire du Rosier",5.256667,45.070833,190,"FRA","France",41,0,1,2,NA,NA
