"ent","sigle","siteID","siteName","lon","lat","elev","poldiv1","region","nsample","ndate","clammodel","use","upperdepth","lowerdepth","optional"
1085,"EGR2G",912,"Etang de la Gruère",7.05,47.240556,1012,"CHE","Switzerland",44,13,NA,NA,NA,NA,TRUE
1115,"LQ170",332,"Lobsigensee",7.298056,47.030556,514,"CHE","Switzerland",117,0,NA,NA,NA,NA,TRUE
1117,"LQ68",332,"Lobsigensee",7.298056,47.030556,514,"CHE","Switzerland",94,0,NA,NA,NA,NA,TRUE
1119,"LQ82",332,"Lobsigensee",7.298056,47.030556,514,"CHE","Switzerland",52,0,NA,NA,NA,NA,TRUE
1139,"OBERGEST",948,"Obergestelen Zweisimmen",7.435,46.5825,1810,"CHE","Switzerland",35,0,NA,NA,NA,NA,TRUE
1162,"SCHWENDI",967,"Schwendital",8.995278,47.108611,1254,"CHE","Switzerland",20,0,NA,NA,NA,NA,TRUE
1171,"WALLB3",974,"Wallbach Lenk",7.403056,46.428333,1876,"CHE","Switzerland",10,1,NA,NA,NA,NA,TRUE
1172,"WALLB8",974,"Wallbach Lenk",7.403056,46.428333,1876,"CHE","Switzerland",12,1,NA,NA,NA,NA,TRUE
1173,"WALLB9",974,"Wallbach Lenk",7.403056,46.428333,1876,"CHE","Switzerland",13,1,NA,NA,NA,NA,TRUE
1212,"ZOTENS2",1007,"Zotensenk",11.865278,47.423611,560,"AUT","Austria",11,0,NA,NA,NA,NA,TRUE
1217,"LOCLAT1C",1010,"Le Loclat",6.991667,47.019167,432,"CHE","Switzerland",13,0,NA,NA,NA,NA,TRUE
1220,"LOCLAT8",1010,"Le Loclat",6.991667,47.019167,432,"CHE","Switzerland",21,0,NA,NA,NA,NA,TRUE
1223,"ORGE1",1012,"Lac du Mont d'Orge Sion",7.338167,46.234,640,"CHE","Switzerland",20,0,NA,NA,NA,NA,TRUE
1224,"ORGE2",1012,"Lac du Mont d'Orge Sion",7.338167,46.234,640,"CHE","Switzerland",38,0,NA,NA,NA,NA,TRUE
1238,"CHABANNE",1023,"Tourbière de Chabannes",2.310556,45.649167,800,"FRA","France",39,3,NA,NA,NA,NA,TRUE
1239,"FERRIERE",1024,"Tourbière de la Ferrière",2.267778,45.530833,870,"FRA","France",34,1,NA,NA,NA,NA,TRUE
1241,"MALSAGNE",1025,"Tourbière de Malsagne",2.438889,45.731944,800,"FRA","France",37,2,NA,NA,NA,NA,TRUE
1243,"RIBIERE",1027,"Tourbière de la Ribière Nègre",2.337222,45.696389,780,"FRA","France",36,4,NA,NA,NA,NA,TRUE
1244,"VILLETE2",1028,"Etang de la Villetelle",1.707778,46.023889,550,"FRA","France",24,1,NA,NA,NA,NA,TRUE
1245,"FONTCARL",1029,"Font Carluze",2.344444,45.540833,860,"FRA","France",22,3,NA,NA,NA,NA,TRUE
1247,"PEYREII",1031,"Peyre peat-bog",2.718889,44.960278,1100,"FRA","France",159,6,NA,NA,NA,NA,TRUE
1248,"COL1",1032,"col du Petit Saint Bernard",6.875556,45.671944,2150,"FRA","France",11,1,NA,NA,NA,NA,TRUE
1249,"COL2",1032,"col du Petit Saint Bernard",6.875556,45.671944,2150,"FRA","France",19,4,NA,NA,NA,NA,TRUE
1250,"DESVERNE",1033,"Lac du Verney-Dessus",6.8725,45.693333,2276,"ITA","Italy",37,9,NA,NA,NA,NA,TRUE
1251,"VERNEY",1034,"Lac du Verney",6.881667,45.686667,2087,"ITA","Italy",9,0,NA,NA,NA,NA,TRUE
1252,"TORVERA1",1035,"Torveraz",6.860556,45.695278,2415,"ITA","Italy",17,0,NA,NA,NA,NA,TRUE
1253,"TORVERA2",1035,"Torveraz",6.860556,45.695278,2415,"ITA","Italy",51,9,NA,NA,NA,NA,TRUE
1254,"SOLARETB",1036,"Sous-Solaret",6.855833,45.619722,1600,"FRA","France",9,0,NA,NA,NA,NA,TRUE
1255,"TEPPIER",1037,"Le Teppier",6.818333,45.680556,2140,"FRA","France",27,3,NA,NA,NA,NA,TRUE
1260,"BOITES3",1041,"Lac des Boites",5.885278,45.056111,1560,"FRA","France",114,2,NA,NA,NA,NA,TRUE
1263,"RAUX",1044,"Tourbière de Raux",5.935278,44.503333,1770,"FRA","France",32,2,NA,NA,NA,NA,TRUE
1264,"MONTSEC1",1045,"Tourbière de Mont Sec",5.806667,45.068889,1130,"FRA","France",53,0,NA,NA,NA,NA,TRUE
1269,"NARMOCEN",1048,"Tourbière des Narses Mortes",3.6,44.433333,1400,"FRA","France",34,0,NA,NA,NA,NA,TRUE
1270,"NARMOBOI",1048,"Tourbière des Narses Mortes",3.6,44.433333,1400,"FRA","France",33,0,NA,NA,NA,NA,TRUE
1271,"NASSETTE",720,"Tourbière des Nassettes",3.641667,44.466667,1375,"FRA","France",23,0,NA,NA,NA,NA,TRUE
1296,"BOUCHI96",1061,"Lac du Bouchet",3.783333,44.916667,1200,"FRA","France",8,0,NA,NA,NA,NA,TRUE
1301,"BALATON2",1066,"Balatonederics",17.383333,46.8,110,"HUN","Hungary",26,0,NA,NA,NA,NA,TRUE
1302,"AGNEBEL",1067,"Agneaux St-Lô",-1.1125,49.116389,60,"FRA","France",8,0,NA,NA,NA,NA,TRUE
1303,"AGNECOUP",1067,"Agneaux St-Lô",-1.1125,49.116389,60,"FRA","France",4,0,NA,NA,NA,NA,TRUE
1304,"GOU57-1",1068,"Gouvets La Bruyère",-1.095833,48.934167,188,"FRA","France",9,0,NA,NA,NA,NA,TRUE
1305,"GOU572-3",1068,"Gouvets La Bruyère",-1.095833,48.934167,188,"FRA","France",10,0,NA,NA,NA,NA,TRUE
1306,"GOUV62",1068,"Gouvets La Bruyère",-1.095833,48.934167,188,"FRA","France",8,0,NA,NA,NA,NA,TRUE
1307,"GOUV7",1068,"Gouvets La Bruyère",-1.095833,48.934167,188,"FRA","France",8,0,NA,NA,NA,NA,TRUE
1308,"GOUVET3",1068,"Gouvets La Bruyère",-1.095833,48.934167,188,"FRA","France",6,0,NA,NA,NA,NA,TRUE
1309,"SOUGE191",1069,"Sougeal",-1.583333,48.566667,68,"FRA","France",22,0,NA,NA,NA,NA,TRUE
1310,"PONTO797",1070,"Pontorson",-1.513889,48.577778,7,"FRA","France",63,0,NA,NA,NA,NA,TRUE
1311,"ARDEVO39",1071,"Ardevon",-1.466667,48.6,8,"FRA","France",10,0,NA,NA,NA,NA,TRUE
1312,"MTSTMICH",1072,"Mont-Saint-Michel",-1.511389,48.636111,5,"FRA","France",3,0,NA,NA,NA,NA,TRUE
1313,"BASCOU34",1073,"Bas-Courtils",-1.433333,48.616667,7,"FRA","France",7,0,NA,NA,NA,NA,TRUE
1314,"BASCOU30",1073,"Bas-Courtils",-1.433333,48.616667,7,"FRA","France",57,0,NA,NA,NA,NA,TRUE
1315,"SELUNE",1074,"Selune",-1.379722,48.650833,5,"FRA","France",7,0,NA,NA,NA,NA,TRUE
1316,"DRAGEY1",1075,"Saint-Jean-le-Thomas",-1.511389,48.716667,5,"FRA","France",17,0,NA,NA,NA,NA,TRUE
1317,"STJEAN97",1075,"Saint-Jean-le-Thomas",-1.511389,48.716667,5,"FRA","France",7,0,NA,NA,NA,NA,TRUE
1318,"STJETHO1",1075,"Saint-Jean-le-Thomas",-1.511389,48.716667,5,"FRA","France",50,0,NA,NA,NA,NA,TRUE
1319,"STJETHO2",1075,"Saint-Jean-le-Thomas",-1.511389,48.716667,5,"FRA","France",13,0,NA,NA,NA,NA,TRUE
1320,"STJETHO3",1075,"Saint-Jean-le-Thomas",-1.511389,48.716667,5,"FRA","France",8,0,NA,NA,NA,NA,TRUE
1321,"STJETHO4",1075,"Saint-Jean-le-Thomas",-1.511389,48.716667,5,"FRA","France",6,0,NA,NA,NA,NA,TRUE
1322,"STJETOF1",1075,"Saint-Jean-le-Thomas",-1.511389,48.716667,5,"FRA","France",13,0,NA,NA,NA,NA,TRUE
1323,"STJETOF2",1075,"Saint-Jean-le-Thomas",-1.511389,48.716667,5,"FRA","France",6,0,NA,NA,NA,NA,TRUE
1324,"STJETOF4",1075,"Saint-Jean-le-Thomas",-1.511389,48.716667,5,"FRA","France",4,0,NA,NA,NA,NA,TRUE
1329,"ANSTM403",1077,"Anse Saint-Martin",-1.878611,49.703889,5,"FRA","France",5,0,NA,NA,NA,NA,TRUE
1331,"URVI78",1079,"Urville-Nacqueville",-1.7575,49.678056,5,"FRA","France",17,0,NA,NA,NA,NA,TRUE
1333,"URVNAC2",1079,"Urville-Nacqueville",-1.7575,49.678056,5,"FRA","France",11,1,NA,NA,NA,NA,TRUE
1339,"LINGR3CE",1080,"Lingreville",-1.543056,48.929722,5,"FRA","France",15,0,NA,NA,NA,NA,TRUE
1343,"LINGREV3",1080,"Lingreville",-1.543056,48.929722,5,"FRA","France",10,0,NA,NA,NA,NA,TRUE
1359,"YVILLE",1092,"Yville",0.889167,49.424167,5,"FRA","France",15,0,NA,NA,NA,NA,TRUE
1360,"JUMIEGES",1093,"Jumièges",0.839167,49.395833,4,"FRA","France",19,0,NA,NA,NA,NA,TRUE
1373,"ROTS1",1102,"Rots",-0.480556,49.208333,50,"FRA","France",38,0,NA,NA,NA,NA,TRUE
1374,"ROTS2",1102,"Rots",-0.480556,49.208333,50,"FRA","France",25,0,NA,NA,NA,NA,TRUE
1375,"ROTS3",1102,"Rots",-0.480556,49.208333,50,"FRA","France",46,0,NA,NA,NA,NA,TRUE
1378,"REVIERS4",1105,"Reviers",-0.466667,49.301111,14,"FRA","France",20,0,NA,NA,NA,NA,TRUE
1379,"REVIERF2",1105,"Reviers",-0.466667,49.301111,14,"FRA","France",15,0,NA,NA,NA,NA,TRUE
1380,"REVIERF3",1105,"Reviers",-0.466667,49.301111,14,"FRA","France",14,0,NA,NA,NA,NA,TRUE
1382,"ELKHALED",1106,"Oumm el-Khaled",7.6,35.083333,970,"DZA","Algeria",12,2,NA,NA,NA,NA,TRUE
1383,"GORGIAS",1107,"Tourbière Saint-Etienne de Tinet",6.823056,44.243611,2180,"FRA","France",117,0,NA,NA,NA,NA,TRUE
1384,"LUGANO",1108,"Lake Lugano",8.971944,45.991667,270,"CHE","Switzerland",95,0,NA,NA,NA,NA,TRUE
1385,"CEAUX",1109,"Ceaux",0.228333,46.32,114,"FRA","France",14,0,NA,NA,NA,NA,TRUE
1386,"ONOZ",1110,"Lake Onoz",5.654167,46.476111,567,"FRA","France",134,0,NA,NA,NA,NA,TRUE
